ID,Project_Code,PQ,PO/SO,ASN/DN,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Item_Description,Molecule/Test_Type,Brand,Dosage,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,First_Line_Designation,Weight_(Kilograms),Freight_Cost_(USD),Line_Item_Insurance_(USD)
84410,151-NG-T30,FPQ-13293,SO-47280,DN-3917,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,11/19/13,N/A - From RDC,30-Sep-14,3-Sep-14,5-Sep-14,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,105344,708965.12,6.73,0.11,"Aurobindo Unit III, India",Yes,10622,61850,728.82
62948,108-VN-T30,FPQ-15692,SCMS-274350,ASN-32777,Vietnam,PMO - US,Direct Drop,EXW,Air,1/28/15,2/17/15,27-Jul-15,27-Jul-15,27-Jul-15,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,14663,118770.3,8.1,0.13,Mylan (formerly Matrix) Nashik,Yes,Weight Captured Separately,Invoiced Separately,139.79
56165,104-CI-T30,FPQ-4698,SCMS-62980,ASN-6559,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,12/28/09,2/12/10,27-Apr-10,27-Apr-10,27-Apr-10,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Indinavir 400mg [Crixivan], capsules, 180 Caps",Indinavir,Crixivan,400mg,Capsule,180,2000,100000.0,50.0,0.28,"MSD, Haarlem, NL",Yes,518,1434.5,215.6
43140,109-TZ-T30,FPQ-13418,SCMS-219190,ASN-25073,Tanzania,PMO - US,Direct Drop,EXW,Air,12/13/13,12/27/13,19-May-14,19-May-14,19-May-14,ARV,Adult,HETERO LABS LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,96200,209716.0,2.18,0.04,Hetero Unit III Hyderabad IN,Yes,6320,33343.63,215.59
9640,102-GY-T01,Pre-PQ Process,SCMS-18800,ASN-1613,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/13/08,6-May-08,6-May-08,6-May-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,748,23936.0,32.0,1.6,"Trinity Biotech, Plc",Yes,748,3740.04,38.3
39184,104-CI-T30,FPQ-7325,SCMS-106600,ASN-11740,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,3/9/11,5/5/11,8-Sep-11,8-Sep-11,8-Sep-11,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,2821,225680.0,80.0,0.8,Inverness Japan,Yes,1346,34282.33,372.37
11626,107-RW-T01,Pre-PQ Process,SO-17230,DN-961,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,28-Oct-08,28-Oct-08,28-Oct-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,288,921.6,3.2,0.05,"Aurobindo Unit III, India",Yes,28,896.26,1.81
86285,151-NG-T30,FPQ-4537,SO-35091,DN-1694,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,11/6/09,N/A - From RDC,19-Apr-10,31-Mar-10,31-Mar-10,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,5000,37500.0,7.5,0.12,Mylan (formerly Matrix) Nashik,Yes,264,Freight Included in Commodity Cost,80.85
86301,151-NG-T30,FPQ-4537,SO-36009,DN-1808,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,11/6/09,N/A - From RDC,31-May-10,18-May-10,18-May-10,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,109140,1282395.0,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,8735,9736.1,2764.84
12751,112-NG-T01,Pre-PQ Process,SO-567,DN-475,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,3-Dec-07,3-Dec-07,3-Dec-07,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,645,2134.95,3.31,0.06,"Aurobindo Unit III, India",No,See DN-475 (ID#:10642),See DN-475 (ID#:10642),3.42
46895,133-NG-T30,FPQ-12812,SCMS-210341,ASN-24162,Nigeria,PMO - US,Direct Drop,EXW,Air,8/13/13,11/1/13,6-Feb-14,6-Feb-14,7-Feb-14,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,3487,111584.0,32.0,1.6,Chembio Diagnostics Sys. Inc.,Yes,1252,5850.25,138.03
23967,116-ZA-T30,FPQ-13973,SCMS-238555,ASN-29257,South Africa,PMO - US,Direct Drop,DDP,Truck,4/30/14,11/4/14,5-Nov-14,5-Nov-14,5-Nov-14,ARV,Adult,PHARMACY DIRECT,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,84,5795.22,68.99,1.15,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,5.96
66690,161-ZA-T30,FPQ-5303,SCMS-69030,ASN-7772,South Africa,PMO - US,Direct Drop,DDP,Air,3/18/10,3/19/10,20-Sep-10,20-Sep-10,20-Sep-10,ARV,Adult,Aurobindo Pharma Limited,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,44168,328168.24,7.43,0.12,"Aurobindo Unit III, India",Yes,2373,1697.9,707.53
85907,900-CM-T30,FPQ-10641,SO-43380,DN-2887,Cameroon,PMO - US,From RDC,N/A - From RDC,Air Charter,9/19/12,N/A - From RDC,7-Nov-12,17-Oct-12,17-Oct-12,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,18486,99084.96,5.36,0.18,"Cipla, Kurkumbh, India",No,See DN-2887 (ID#:82520),See DN-2887 (ID#:82520),138.92
85324,101-CD-T30,FPQ-11054,SO-43680,DN-2981,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,11/16/12,N/A - From RDC,11-Sep-13,11-Sep-13,11-Sep-13,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,7003,13655.85,1.95,0.01,"Aurobindo Unit III, India",No,See DN-2981 (ID#:82538),See DN-2981 (ID#:82538),16.89
7469,117-ET-T01,Pre-PQ Process,SCMS-32640,ASN-2934,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/27/08,3-Dec-08,1-Dec-08,1-Dec-08,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,,Test kit,1,3510,80730.0,23.0,23.0,"KHB Test Kit Facility, Shanghai China",Yes,2535,23035.69,158.23
12234,110-ZM-T01,Pre-PQ Process,SO-2480,DN-855,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,20-Aug-08,20-Aug-08,20-Aug-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,50000,600500.0,12.01,0.4,Mylan (formerly Matrix) Nashik,Yes,3841,3558.49,960.8
71076,116-ZA-T30,FPQ-13973,SCMS-238550,ASN-30792,South Africa,PMO - US,Direct Drop,DDP,Truck,4/30/14,5/8/14,19-Feb-15,19-Feb-15,19-Feb-15,ARV,Adult,PHARMACY DIRECT,"Raltegravir 400mg [Isentress], tablets, 60 Tabs",Raltegravir,Isentress,400mg,Tablet,60,3,253.94,84.65,1.41,"MSD, Haarlem, NL",No,Weight Captured Separately,Freight Included in Commodity Cost,0.26
83610,107-RW-T30,FPQ-10119,SO-42730,DN-2783,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,6/18/12,N/A - From RDC,28-Sep-12,17-Aug-12,17-Aug-12,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,29880,232466.4,7.78,0.13,"Aurobindo Unit III, India",Yes,2699,16152,325.92
62586,114-UG-T30,FPQ-10489,SCMS-159280,ASN-16778,Uganda,PMO - US,Direct Drop,DAP,Air,8/24/12,9/6/12,25-Oct-12,25-Oct-12,25-Oct-12,ARV,Adult,ASPEN PHARMACARE,"Etravirine 100mg [Intelence], tablets, 120 Tabs",Etravirine,Intelence,100mg,Tablet,120,111,3996.0,36.0,0.3,"Janssen-Cilag, Latina, IT",Yes,24,330,5.6
85203,200-ZW-T30,FPQ-6483,SO-37901,DN-2372,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,10/13/10,N/A - From RDC,14-Oct-11,21-Oct-11,21-Oct-11,ARV,Pediatric,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,24940,105995.0,4.25,0.07,Mylan (formerly Matrix) Nashik,Yes,1456,2326.77,228.53
83830,107-RW-T30,FPQ-13812,SO-48150,DN-3845,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,3/4/14,N/A - From RDC,16-Sep-14,1-Aug-14,22-Aug-14,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,715,2888.6,4.04,0.13,Mylan (formerly Matrix) Nashik,Yes,44,1171.2,2.97
86296,111-MZ-T30,FPQ-4711,SO-35750,DN-1795,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,12/23/09,N/A - From RDC,21-Jun-10,14-Jun-10,14-Jun-10,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,60,8670,29478.0,3.4,0.06,"Cipla, Goa, India",No,See DN-1795 (ID#:82315),See DN-1795 (ID#:82315),63.55
64506,111-MZ-T30,FPQ-3999,SCMS-50180,ASN-4929,Mozambique,PMO - US,Direct Drop,EXW,Air,7/15/09,7/25/09,29-Sep-09,29-Sep-09,29-Sep-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,4200,134400.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1462,23097.81,263.42
6962,111-MZ-T01,Pre-PQ Process,SCMS-18060,ASN-1650,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/25/08,13-Jun-08,27-May-08,27-May-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,4200,302358.0,71.99,0.72,Inverness Japan,Yes,965,7781.88,483.77
67389,108-VN-T30,FPQ-5317,SCMS-69240,ASN-7581,Vietnam,PMO - US,Direct Drop,EXW,Air,3/22/10,3/25/10,13-Aug-10,13-Aug-10,13-Aug-10,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,28496,39894.4,1.4,0.02,"Aurobindo Unit III, India",No,See ASN-7581 (ID#:42811),See ASN-7581 (ID#:42811),86.01
82619,105-GY-T30,FPQ-12619,SO-46090,DN-3425,Guyana,PMO - US,From RDC,N/A - From RDC,Air,7/16/13,N/A - From RDC,31-Dec-13,2-Dec-13,20-Dec-13,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,394,732.84,1.86,0.01,"Aurobindo Unit III, India",No,See DN-3425 (ID#:82618),See DN-3425 (ID#:82618),0.91
83982,106-HT-T30,FPQ-4384,SO-35920,DN-1667,Haiti,PMO - US,From RDC,N/A - From RDC,Air,10/23/09,N/A - From RDC,10-Mar-10,3-Mar-10,3-Mar-10,ARV,Adult,SCMS from RDC,"Stavudine 15mg, capsules, 60 Caps",Stavudine,Generic,15mg,Capsule,60,84,126.0,1.5,0.02,"Aurobindo Unit III, India",No,See DN-1667 (ID#:82861),See DN-1667 (ID#:82861),0.27
10846,105-GY-T01,Pre-PQ Process,SO-693,DN-232,Guyana,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,18-Jul-07,18-Jul-07,18-Jul-07,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,209,1703.35,8.15,0.14,"Ranbaxy, Paonta Shahib, India",Yes,12,764.62,2.73
86485,113-ZW-T30,FPQ-8464,SO-40891,DN-2694,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,10/4/11,N/A - From RDC,16-Oct-12,27-Jun-12,27-Jun-12,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,71030,333841.0,4.7,0.08,"Strides, Bangalore, India.",No,See DN-2694 (ID#:82483),See DN-2694 (ID#:82483),550.84
85854,102-DO-T30,FPQ-9676,SO-41880,DN-2638,Dominican Republic,PMO - US,From RDC,N/A - From RDC,Air,4/9/12,N/A - From RDC,21-May-12,4-May-12,4-May-12,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,6263,34697.02,5.54,0.18,Mylan (formerly Matrix) Nashik,No,See DN-2638 (ID#:85257),See DN-2638 (ID#:85257),48.65
84627,114-UG-T30,FPQ-7166,SO-38890,DN-2135,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2/11/11,N/A - From RDC,18-Apr-11,15-Mar-11,15-Mar-11,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,46113,332474.73,7.21,0.12,"Aurobindo Unit III, India",Yes,2534,16629.49,548.58
52677,114-UG-T30,FPQ-13116,SCMS-212630,ASN-23223,Uganda,PMO - US,Direct Drop,EXW,Air,10/23/13,10/30/13,4-Mar-14,4-Mar-14,5-Mar-14,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,188,5794.16,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,221,2553.06,5.96
48516,106-HT-T30,FPQ-15038,SCMS-262950,ASN-30813,Haiti,PMO - US,Direct Drop,EXW,Air,10/22/14,12/24/14,30-Mar-15,30-Mar-15,31-Mar-15,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 100mg, capsules, 100 Caps",Zidovudine,Generic,100mg,Capsule,100,120,540.0,4.5,0.04,"Aurobindo Unit III, India",Yes,9,820.56,0.56
11238,111-MZ-T01,Pre-PQ Process,SO-1310,DN-688,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,30-Jun-08,30-Jun-08,30-Jun-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,90955,673067.0,7.4,0.12,"Cipla, Goa, India",Yes,16579,8654.7,1076.91
16053,108-VN-T30,FPQ-13034,SCMS-210120,ASN-24394,Vietnam,PMO - US,Direct Drop,EXW,Air,10/4/13,10/10/13,23-Apr-14,23-Apr-14,23-Apr-14,ARV,Adult,HETERO LABS LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,14011,25920.35,1.85,0.03,Hetero Unit III Hyderabad IN,Yes,1953,3658.08,32.06
48595,108-VN-T30,FPQ-15823,SCMS-277330,ASN-33152,Vietnam,PMO - US,Direct Drop,FCA,Air,2/13/15,3/4/15,13-Aug-15,13-Aug-15,13-Aug-15,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 30 Tabs",Ritonavir,Norvir,100mg,Tablet,30,400,9304.0,23.26,0.78,ABBVIE Ludwigshafen Germany,No,See ASN-33152 (ID#:38571),See ASN-33152 (ID#:38571),10.95
62549,116-ZA-T30,FPQ-14942,SCMS-259076,ASN-32524,South Africa,PMO - US,Direct Drop,DDP,Truck,9/11/14,6/2/15,2-Jun-15,2-Jun-15,2-Jun-15,ARV,Adult,PHARMACY DIRECT,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,52,343.51,6.61,0.11,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,0.35
70614,114-UG-T30,FPQ-11098,SCMS-171680,ASN-18882,Uganda,PMO - US,Direct Drop,EXW,Air,12/13/12,1/2/13,29-Apr-13,29-Apr-13,29-Apr-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,3035,242800.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,1346,32471.83,300.34
3292,133-NG-T01,Pre-PQ Process,SCMS-27050,ASN-2572,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/18/08,7-Nov-08,21-Oct-08,21-Oct-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,12315,332505.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,3508,29954.15,532.01
72066,116-ZA-T30,FPQ-12522,SCMS-199289,ASN-28033,South Africa,PMO - US,Direct Drop,DDP,Truck,7/11/13,8/29/14,29-Aug-14,29-Aug-14,29-Aug-14,ARV,Adult,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,70,1803.18,25.76,0.21,ABBVIE Ludwigshafen Germany,No,Weight Captured Separately,Freight Included in Commodity Cost,2.23
81769,116-ZA-T30,FPQ-12522,SCMS-199289,ASN-28036,South Africa,PMO - US,Direct Drop,DDP,Truck,7/11/13,8/29/14,29-Aug-14,29-Aug-14,29-Aug-14,ARV,Adult,S. BUYS WHOLESALER,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,302,10065.28,33.33,1.11,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,12.45
85705,117-ET-T30,FPQ-5581,SO-36680,DN-2006,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,4/28/10,N/A - From RDC,15-Sep-10,13-Sep-10,13-Sep-10,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,1800,4194.0,2.33,0.04,"Aurobindo Unit III, India",Yes,74,530.36,9.04
82388,110-ZM-T30,FPQ-7233,SO-39040,DN-2273,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,3/1/11,N/A - From RDC,15-Aug-11,5-Aug-11,5-Aug-11,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,20000,36000.0,1.8,0.01,"Aurobindo Unit III, India",Yes,7469,3949.19,59.4
73403,101-AF-T30,FPQ-15746,SCMS-275090,ASN-30861,Afghanistan,PMO - US,Direct Drop,EXW,Air,1/20/15,2/9/15,12-Jul-15,12-Jul-15,13-Jul-15,ANTM,Malaria,IMRES B.V.,"Quinine sulphate 300mg, film coated tablet, 1000 Tabs",Quinine,Generic,300mg,Tablet,1000,57,2881.35,50.55,0.05,Mepro Pharm Wadhwan Unit II,No,See ASN-30861 (ID#:41238),See ASN-30861 (ID#:41238),3.39
